area_code,sales,cogs,total_expenses,inventory,budget_profit,budget_cogs,productid,week,month,year,weekday,state,market,product
206,167.0,68.0,43.0,438.0,110.0,90.0,2,39,10,2010,4,Washington,West,Columbian
206,145.0,53.0,41.0,338.0,70.0,60.0,2,52,1,2011,5,Washington,West,Columbian
206,180.0,69.0,46.0,340.0,90.0,80.0,2,13,4,2011,4,Washington,West,Columbian
206,191.0,79.0,45.0,425.0,110.0,90.0,2,22,6,2011,2,Washington,West,Columbian
206,220.0,92.0,113.0,541.0,60.0,110.0,3,5,2,2010,0,Washington,West,Decaf Irish Cream
206,227.0,95.0,116.0,532.0,70.0,110.0,3,9,3,2010,0,Washington,West,Decaf Irish Cream
206,227.0,95.0,115.0,554.0,70.0,110.0,3,13,4,2010,3,Washington,West,Decaf Irish Cream
206,264.0,110.0,130.0,665.0,90.0,130.0,3,22,6,2010,1,Washington,West,Decaf Irish Cream
206,317.0,133.0,150.0,705.0,100.0,160.0,3,30,8,2010,6,Washington,West,Decaf Irish Cream
206,242.0,95.0,116.0,532.0,70.0,110.0,3,9,3,2011,1,Washington,West,Decaf Irish Cream
206,262.0,110.0,121.0,665.0,90.0,130.0,3,22,6,2011,2,Washington,West,Decaf Irish Cream
206,294.0,124.0,132.0,717.0,100.0,150.0,3,26,7,2011,4,Washington,West,Decaf Irish Cream
206,238.0,93.0,114.0,692.0,60.0,110.0,3,35,9,2011,3,Washington,West,Decaf Irish Cream
206,245.0,96.0,117.0,683.0,100.0,140.0,3,39,10,2011,5,Washington,West,Decaf Irish Cream
206,266.0,105.0,125.0,716.0,50.0,120.0,3,48,12,2011,3,Washington,West,Decaf Irish Cream
206,150.0,63.0,87.0,506.0,10.0,40.0,13,9,3,2010,0,Washington,West,Green Tea
206,105.0,44.0,69.0,617.0,10.0,20.0,13,30,8,2010,6,Washington,West,Green Tea
206,144.0,60.0,84.0,606.0,10.0,20.0,13,39,10,2010,4,Washington,West,Green Tea
206,147.0,61.0,85.0,613.0,0.0,40.0,13,44,11,2010,0,Washington,West,Green Tea
206,160.0,63.0,87.0,521.0,10.0,40.0,13,13,4,2011,4,Washington,West,Green Tea
206,153.0,64.0,82.0,551.0,10.0,40.0,13,17,5,2011,6,Washington,West,Green Tea
206,159.0,62.0,85.0,612.0,10.0,40.0,13,35,9,2011,3,Washington,West,Green Tea
206,153.0,60.0,84.0,606.0,10.0,20.0,13,39,10,2011,5,Washington,West,Green Tea
206,130.0,58.0,56.0,338.0,20.0,50.0,5,17,5,2010,5,Washington,West,Caffe Mocha
206,133.0,59.0,56.0,403.0,20.0,50.0,5,26,7,2010,3,Washington,West,Caffe Mocha
206,134.0,54.0,56.0,312.0,20.0,50.0,5,52,1,2011,5,Washington,West,Caffe Mocha
206,126.0,53.0,53.0,306.0,20.0,50.0,5,5,2,2011,1,Washington,West,Caffe Mocha
206,135.0,57.0,55.0,313.0,30.0,50.0,5,13,4,2011,4,Washington,West,Caffe Mocha
206,129.0,54.0,54.0,391.0,20.0,50.0,5,44,11,2011,1,Washington,West,Caffe Mocha
206,150.0,69.0,42.0,965.0,60.0,60.0,6,53,1,2010,4,Washington,West,Decaf Espresso
206,151.0,69.0,43.0,965.0,60.0,60.0,6,13,4,2010,3,Washington,West,Decaf Espresso
206,170.0,78.0,45.0,995.0,60.0,70.0,6,17,5,2010,5,Washington,West,Decaf Espresso
206,226.0,103.0,52.0,1073.0,90.0,90.0,6,30,8,2010,6,Washington,West,Decaf Espresso
206,182.0,83.0,46.0,1063.0,70.0,70.0,6,35,9,2010,2,Washington,West,Decaf Espresso
206,164.0,75.0,44.0,1063.0,40.0,70.0,6,44,11,2010,0,Washington,West,Decaf Espresso
206,165.0,71.0,44.0,950.0,50.0,60.0,6,9,3,2011,1,Washington,West,Decaf Espresso
206,161.0,69.0,43.0,965.0,60.0,60.0,6,13,4,2011,4,Washington,West,Decaf Espresso
206,168.0,78.0,42.0,995.0,60.0,70.0,6,17,5,2011,6,Washington,West,Decaf Espresso
206,194.0,83.0,46.0,1063.0,70.0,70.0,6,35,9,2011,3,Washington,West,Decaf Espresso
206,310.0,124.0,71.0,961.0,120.0,100.0,8,53,1,2010,4,Washington,West,Chamomile
206,325.0,130.0,74.0,945.0,120.0,110.0,8,5,2,2010,0,Washington,West,Chamomile
206,309.0,123.0,71.0,932.0,120.0,100.0,8,9,3,2010,0,Washington,West,Chamomile
206,275.0,110.0,67.0,1020.0,100.0,90.0,8,17,5,2010,5,Washington,West,Chamomile
206,232.0,92.0,61.0,1102.0,90.0,70.0,8,22,6,2010,1,Washington,West,Chamomile
206,313.0,125.0,73.0,1119.0,130.0,90.0,8,39,10,2010,4,Washington,West,Chamomile
206,325.0,130.0,73.0,1134.0,120.0,120.0,8,44,11,2010,0,Washington,West,Chamomile
206,346.0,130.0,74.0,945.0,120.0,110.0,8,5,2,2011,1,Washington,West,Chamomile
206,311.0,116.0,70.0,962.0,110.0,90.0,8,13,4,2011,4,Washington,West,Chamomile
206,346.0,130.0,73.0,1134.0,120.0,120.0,8,44,11,2011,1,Washington,West,Chamomile
206,99.0,40.0,23.0,793.0,50.0,30.0,9,17,5,2010,5,Washington,West,Lemon
206,98.0,40.0,21.0,793.0,50.0,30.0,9,17,5,2011,6,Washington,West,Lemon
206,167.0,62.0,43.0,346.0,40.0,40.0,11,9,3,2010,0,Washington,West,Darjeeling
206,159.0,60.0,42.0,329.0,40.0,20.0,11,39,10,2010,4,Washington,West,Darjeeling
206,185.0,65.0,43.0,372.0,40.0,40.0,11,5,2,2011,1,Washington,West,Darjeeling
206,124.0,47.0,34.0,371.0,30.0,30.0,11,22,6,2011,2,Washington,West,Darjeeling
206,161.0,57.0,40.0,349.0,40.0,30.0,11,35,9,2011,3,Washington,West,Darjeeling
206,137.0,56.0,40.0,382.0,40.0,30.0,12,5,2,2010,0,Washington,West,Earl Grey
206,99.0,40.0,35.0,443.0,20.0,20.0,12,22,6,2010,1,Washington,West,Earl Grey
206,90.0,36.0,34.0,458.0,30.0,20.0,12,30,8,2010,6,Washington,West,Earl Grey
206,120.0,49.0,37.0,454.0,30.0,30.0,12,44,11,2010,0,Washington,West,Earl Grey
206,168.0,61.0,43.0,390.0,40.0,40.0,12,52,1,2011,5,Washington,West,Earl Grey
206,137.0,52.0,39.0,376.0,30.0,30.0,12,9,3,2011,1,Washington,West,Earl Grey
206,121.0,46.0,38.0,388.0,20.0,30.0,12,13,4,2011,4,Washington,West,Earl Grey
206,98.0,40.0,33.0,443.0,20.0,20.0,12,22,6,2011,2,Washington,West,Earl Grey
206,89.0,36.0,32.0,458.0,30.0,20.0,12,31,8,2011,0,Washington,West,Earl Grey
206,128.0,49.0,37.0,454.0,30.0,30.0,12,44,11,2011,1,Washington,West,Earl Grey
206,103.0,45.0,26.0,605.0,30.0,40.0,4,13,4,2010,3,Washington,West,Caffe Latte
206,110.0,48.0,28.0,599.0,40.0,40.0,4,17,5,2010,5,Washington,West,Caffe Latte
206,110.0,48.0,28.0,593.0,40.0,40.0,4,22,6,2010,1,Washington,West,Caffe Latte
206,115.0,50.0,29.0,587.0,50.0,40.0,4,26,7,2010,3,Washington,West,Caffe Latte
206,69.0,30.0,22.0,581.0,30.0,20.0,4,30,8,2010,6,Washington,West,Caffe Latte
206,76.0,33.0,22.0,577.0,30.0,30.0,4,35,9,2010,2,Washington,West,Caffe Latte
206,51.0,22.0,19.0,573.0,20.0,10.0,4,39,10,2010,4,Washington,West,Caffe Latte
206,123.0,48.0,28.0,623.0,40.0,40.0,4,52,1,2011,5,Washington,West,Caffe Latte
206,109.0,48.0,26.0,599.0,40.0,40.0,4,17,5,2011,6,Washington,West,Caffe Latte
206,114.0,50.0,27.0,587.0,50.0,40.0,4,26,7,2011,4,Washington,West,Caffe Latte
206,54.0,22.0,19.0,573.0,20.0,10.0,4,39,10,2011,5,Washington,West,Caffe Latte
206,60.0,24.0,19.0,567.0,20.0,20.0,4,48,12,2011,3,Washington,West,Caffe Latte
209,106.0,127.0,63.0,1215.0,-80.0,160.0,1,17,5,2010,5,California,West,Amaretto
209,87.0,154.0,71.0,1832.0,-150.0,190.0,1,26,7,2010,3,California,West,Amaretto
209,162.0,95.0,55.0,608.0,30.0,110.0,1,52,1,2011,5,California,West,Amaretto
209,109.0,127.0,63.0,2947.0,-90.0,150.0,1,48,12,2011,3,California,West,Amaretto
209,712.0,284.0,152.0,2108.0,400.0,350.0,2,13,4,2010,3,California,West,Columbian
209,759.0,284.0,152.0,2108.0,400.0,350.0,2,13,4,2011,4,California,West,Columbian
209,201.0,75.0,55.0,659.0,40.0,50.0,13,44,11,2011,1,California,West,Green Tea
209,289.0,121.0,143.0,788.0,30.0,110.0,5,17,5,2010,5,California,West,Caffe Mocha
209,576.0,247.0,113.0,1744.0,210.0,240.0,6,48,12,2010,2,California,West,Decaf Espresso
209,614.0,247.0,113.0,1744.0,210.0,240.0,6,48,12,2011,3,California,West,Decaf Espresso
209,247.0,95.0,37.0,809.0,100.0,80.0,8,5,2,2011,1,California,West,Chamomile
209,546.0,251.0,99.0,1268.0,200.0,210.0,9,35,9,2010,2,California,West,Lemon
209,582.0,251.0,99.0,1268.0,200.0,210.0,9,35,9,2011,3,California,West,Lemon
209,90.0,39.0,25.0,541.0,40.0,20.0,10,39,10,2010,4,California,West,Mint
209,276.0,113.0,43.0,897.0,90.0,70.0,11,22,6,2010,1,California,West,Darjeeling
209,187.0,76.0,32.0,580.0,50.0,30.0,12,39,10,2010,4,California,West,Earl Grey
210,532.0,244.0,96.0,1213.0,270.0,300.0,2,22,6,2010,1,Texas,South,Columbian
210,256.0,104.0,40.0,952.0,120.0,80.0,5,26,7,2010,3,Texas,South,Caffe Mocha
210,302.0,123.0,46.0,915.0,100.0,70.0,5,39,10,2010,4,Texas,South,Caffe Mocha
210,298.0,123.0,42.0,941.0,120.0,100.0,5,31,8,2011,0,Texas,South,Caffe Mocha
210,123.0,50.0,25.0,589.0,40.0,30.0,6,44,11,2010,0,Texas,South,Decaf Espresso
210,84.0,34.0,30.0,428.0,30.0,30.0,9,31,8,2011,0,Texas,South,Lemon
212,198.0,81.0,34.0,460.0,100.0,80.0,13,13,4,2010,3,New York,East,Green Tea
212,150.0,54.0,27.0,456.0,70.0,50.0,13,52,1,2011,5,New York,East,Green Tea
212,208.0,86.0,33.0,499.0,100.0,90.0,13,17,5,2011,6,New York,East,Green Tea
212,66.0,135.0,155.0,3641.0,-210.0,130.0,5,48,12,2010,2,New York,East,Caffe Mocha
212,70.0,125.0,146.0,1382.0,-190.0,120.0,5,13,4,2011,4,New York,East,Caffe Mocha
212,77.0,173.0,176.0,2615.0,-260.0,160.0,5,31,8,2011,0,New York,East,Caffe Mocha
212,647.0,284.0,130.0,1565.0,180.0,210.0,9,31,8,2011,0,New York,East,Lemon
212,112.0,251.0,99.0,3948.0,-180.0,190.0,10,35,9,2010,2,New York,East,Mint
212,312.0,127.0,47.0,1007.0,160.0,130.0,11,26,7,2010,3,New York,East,Darjeeling
212,309.0,127.0,44.0,1007.0,160.0,130.0,11,26,7,2011,4,New York,East,Darjeeling
212,543.0,260.0,96.0,1271.0,210.0,240.0,7,17,5,2010,5,New York,East,Regular Espresso
212,815.0,239.0,91.0,1197.0,450.0,210.0,7,39,10,2011,5,New York,East,Regular Espresso
213,687.0,258.0,142.0,2067.0,360.0,320.0,2,5,2,2011,1,California,West,Columbian
213,902.0,364.0,166.0,2617.0,520.0,450.0,2,31,8,2011,0,California,West,Columbian
213,664.0,249.0,139.0,2580.0,310.0,290.0,2,44,11,2011,1,California,West,Columbian
213,168.0,67.0,54.0,677.0,50.0,40.0,13,48,12,2010,2,California,West,Green Tea
213,546.0,234.0,109.0,1310.0,200.0,220.0,6,53,1,2010,4,California,West,Decaf Espresso
213,589.0,253.0,116.0,1686.0,220.0,240.0,6,35,9,2010,2,California,West,Decaf Espresso
213,567.0,228.0,107.0,1691.0,190.0,220.0,6,44,11,2011,1,California,West,Decaf Espresso
213,198.0,81.0,33.0,984.0,80.0,70.0,8,44,11,2010,0,California,West,Chamomile
213,467.0,214.0,88.0,923.0,170.0,180.0,9,9,3,2010,0,California,West,Lemon
213,490.0,225.0,91.0,1272.0,160.0,210.0,9,44,11,2010,0,California,West,Lemon
213,119.0,52.0,28.0,554.0,40.0,40.0,10,31,8,2011,0,California,West,Mint
213,290.0,118.0,44.0,930.0,110.0,80.0,11,44,11,2010,0,California,West,Darjeeling
213,527.0,266.0,92.0,1819.0,170.0,250.0,4,26,7,2011,4,California,West,Caffe Latte
213,527.0,266.0,92.0,1797.0,170.0,250.0,4,31,8,2011,0,California,West,Caffe Latte
214,546.0,251.0,98.0,1268.0,280.0,310.0,2,35,9,2010,2,Texas,South,Columbian
214,193.0,84.0,39.0,603.0,110.0,100.0,3,9,3,2010,0,Texas,South,Decaf Irish Cream
214,90.0,39.0,25.0,541.0,80.0,40.0,3,39,10,2010,4,Texas,South,Decaf Irish Cream
214,133.0,54.0,27.0,601.0,40.0,40.0,6,48,12,2010,2,Texas,South,Decaf Espresso
214,201.0,77.0,32.0,449.0,90.0,60.0,6,5,2,2011,1,Texas,South,Decaf Espresso
214,140.0,60.0,47.0,329.0,50.0,50.0,8,5,2,2010,0,Texas,South,Chamomile
214,134.0,57.0,46.0,323.0,50.0,50.0,8,9,3,2010,0,Texas,South,Chamomile
214,109.0,47.0,40.0,420.0,30.0,40.0,8,26,7,2011,4,Texas,South,Chamomile
214,101.0,41.0,36.0,435.0,30.0,30.0,9,48,12,2010,2,Texas,South,Lemon
216,122.0,52.0,41.0,361.0,40.0,50.0,1,17,5,2011,6,Ohio,Central,Amaretto
216,133.0,53.0,44.0,410.0,50.0,50.0,1,35,9,2011,3,Ohio,Central,Amaretto
216,122.0,51.0,76.0,503.0,30.0,40.0,3,39,10,2010,4,Ohio,Central,Decaf Irish Cream
216,291.0,145.0,65.0,1304.0,120.0,160.0,5,26,7,2010,3,Ohio,Central,Caffe Mocha
216,346.0,162.0,70.0,1091.0,130.0,180.0,5,13,4,2011,4,Ohio,Central,Caffe Mocha
216,295.0,149.0,60.0,1156.0,120.0,170.0,5,17,5,2011,6,Ohio,Central,Caffe Mocha
216,288.0,145.0,60.0,1304.0,120.0,160.0,5,26,7,2011,4,Ohio,Central,Caffe Mocha
216,117.0,53.0,50.0,361.0,20.0,60.0,6,17,5,2011,6,Ohio,Central,Decaf Espresso
216,108.0,49.0,48.0,414.0,20.0,50.0,6,31,8,2011,0,Ohio,Central,Decaf Espresso
216,53.0,21.0,16.0,454.0,30.0,10.0,8,13,4,2010,3,Ohio,Central,Chamomile
216,44.0,18.0,16.0,478.0,20.0,10.0,8,22,6,2011,2,Ohio,Central,Chamomile
216,200.0,84.0,49.0,500.0,60.0,70.0,12,53,1,2010,4,Ohio,Central,Earl Grey
217,345.0,144.0,90.0,862.0,130.0,150.0,2,53,1,2010,4,Illinois,Central,Columbian
217,367.0,154.0,94.0,829.0,140.0,160.0,2,9,3,2010,0,Illinois,Central,Columbian
217,456.0,191.0,109.0,865.0,170.0,200.0,2,13,4,2010,3,Illinois,Central,Columbian
217,376.0,154.0,72.0,833.0,170.0,160.0,3,26,7,2010,3,Illinois,Central,Decaf Irish Cream
217,262.0,95.0,55.0,608.0,100.0,100.0,3,52,1,2011,5,Illinois,Central,Decaf Irish Cream
217,587.0,252.0,115.0,1316.0,280.0,290.0,5,13,4,2010,3,Illinois,Central,Caffe Mocha
217,604.0,243.0,113.0,1260.0,260.0,280.0,5,9,3,2011,1,Illinois,Central,Caffe Mocha
217,478.0,239.0,90.0,1464.0,200.0,270.0,6,13,4,2010,3,Illinois,Central,Decaf Espresso
217,190.0,83.0,39.0,584.0,60.0,70.0,9,17,5,2010,5,Illinois,Central,Lemon
217,134.0,54.0,27.0,456.0,50.0,40.0,11,53,1,2010,4,Illinois,Central,Darjeeling
217,245.0,100.0,40.0,598.0,100.0,80.0,11,30,8,2010,6,Illinois,Central,Darjeeling
217,187.0,76.0,33.0,580.0,80.0,50.0,11,39,10,2010,4,Illinois,Central,Darjeeling
217,150.0,54.0,28.0,456.0,50.0,40.0,11,52,1,2011,5,Illinois,Central,Darjeeling
224,463.0,196.0,100.0,1167.0,190.0,200.0,2,31,8,2011,0,Illinois,Central,Columbian
224,678.0,291.0,128.0,1742.0,340.0,330.0,5,26,7,2010,3,Illinois,Central,Caffe Mocha
224,532.0,228.0,108.0,1691.0,290.0,290.0,5,44,11,2010,0,Illinois,Central,Caffe Mocha
224,213.0,87.0,35.0,756.0,90.0,70.0,8,9,3,2010,0,Illinois,Central,Chamomile
224,223.0,91.0,37.0,777.0,100.0,70.0,8,13,4,2010,3,Illinois,Central,Chamomile
224,178.0,78.0,38.0,593.0,60.0,60.0,9,13,4,2010,3,Illinois,Central,Lemon
224,262.0,95.0,40.0,821.0,100.0,80.0,10,52,1,2011,5,Illinois,Central,Mint
225,85.0,34.0,21.0,777.0,50.0,40.0,2,53,1,2010,4,Louisiana,South,Columbian
225,82.0,33.0,20.0,768.0,50.0,40.0,2,9,3,2010,0,Louisiana,South,Columbian
225,119.0,48.0,24.0,829.0,80.0,70.0,2,39,10,2010,4,Louisiana,South,Columbian
225,115.0,47.0,24.0,834.0,60.0,50.0,2,44,11,2010,0,Louisiana,South,Columbian
225,92.0,35.0,21.0,776.0,50.0,40.0,2,13,4,2011,4,Louisiana,South,Columbian
225,106.0,43.0,22.0,822.0,60.0,50.0,2,22,6,2011,2,Louisiana,South,Columbian
225,118.0,48.0,25.0,851.0,80.0,70.0,3,39,10,2010,4,Louisiana,South,Decaf Irish Cream
225,85.0,34.0,20.0,863.0,50.0,40.0,3,48,12,2010,2,Louisiana,South,Decaf Irish Cream
225,143.0,59.0,25.0,842.0,90.0,70.0,3,22,6,2011,2,Louisiana,South,Decaf Irish Cream
225,133.0,49.0,39.0,342.0,50.0,40.0,5,13,4,2010,3,Louisiana,South,Caffe Mocha
225,130.0,48.0,38.0,351.0,50.0,40.0,5,17,5,2010,5,Louisiana,South,Caffe Mocha
225,125.0,47.0,37.0,371.0,40.0,40.0,5,22,6,2010,1,Louisiana,South,Caffe Mocha
225,104.0,39.0,35.0,380.0,30.0,30.0,5,26,7,2010,3,Louisiana,South,Caffe Mocha
225,141.0,53.0,39.0,321.0,30.0,40.0,5,44,11,2010,0,Louisiana,South,Caffe Mocha
225,201.0,67.0,45.0,400.0,80.0,50.0,5,52,1,2011,5,Louisiana,South,Caffe Mocha
225,185.0,65.0,44.0,372.0,70.0,50.0,5,5,2,2011,1,Louisiana,South,Caffe Mocha
225,169.0,60.0,41.0,329.0,70.0,30.0,5,39,10,2011,5,Louisiana,South,Caffe Mocha
225,114.0,41.0,35.0,320.0,20.0,30.0,5,48,12,2011,3,Louisiana,South,Caffe Mocha
225,114.0,46.0,37.0,388.0,40.0,30.0,6,13,4,2010,3,Louisiana,South,Decaf Espresso
225,90.0,36.0,33.0,462.0,20.0,30.0,6,26,7,2010,3,Louisiana,South,Decaf Espresso
225,120.0,49.0,37.0,454.0,30.0,30.0,6,44,11,2010,0,Louisiana,South,Decaf Espresso
225,106.0,43.0,36.0,466.0,20.0,30.0,6,48,12,2010,2,Louisiana,South,Decaf Espresso
225,109.0,45.0,34.0,410.0,40.0,30.0,6,17,5,2011,6,Louisiana,South,Decaf Espresso
225,98.0,40.0,33.0,443.0,30.0,30.0,6,22,6,2011,2,Louisiana,South,Decaf Espresso
225,89.0,36.0,31.0,462.0,20.0,30.0,6,26,7,2011,4,Louisiana,South,Decaf Espresso
225,111.0,48.0,27.0,593.0,40.0,40.0,8,22,6,2010,1,Louisiana,South,Chamomile
225,236.0,103.0,46.0,564.0,110.0,80.0,8,39,10,2010,4,Louisiana,South,Chamomile
225,214.0,94.0,43.0,540.0,70.0,80.0,8,48,12,2010,2,Louisiana,South,Chamomile
225,193.0,86.0,65.0,484.0,40.0,80.0,9,5,2,2010,0,Louisiana,South,Lemon
225,150.0,67.0,58.0,599.0,30.0,60.0,9,35,9,2010,2,Louisiana,South,Lemon
225,159.0,72.0,56.0,606.0,40.0,60.0,9,31,8,2011,0,Louisiana,South,Lemon
225,189.0,79.0,64.0,593.0,60.0,60.0,9,39,10,2011,5,Louisiana,South,Lemon
225,160.0,63.0,86.0,187.0,0.0,50.0,4,9,3,2011,1,Louisiana,South,Caffe Latte
225,127.0,53.0,73.0,-267.0,10.0,40.0,4,22,6,2011,2,Louisiana,South,Caffe Latte
225,112.0,47.0,67.0,-395.0,0.0,40.0,4,26,7,2011,4,Louisiana,South,Caffe Latte
225,140.0,55.0,79.0,-1053.0,0.0,40.0,4,48,12,2011,3,Louisiana,South,Caffe Latte
234,108.0,46.0,43.0,415.0,40.0,40.0,1,30,8,2010,6,Ohio,Central,Amaretto
234,147.0,59.0,46.0,411.0,50.0,50.0,1,44,11,2011,1,Ohio,Central,Amaretto
234,135.0,54.0,44.0,424.0,40.0,50.0,1,48,12,2011,3,Ohio,Central,Amaretto
234,85.0,34.0,32.0,428.0,30.0,30.0,2,30,8,2010,6,Ohio,Central,Columbian
234,102.0,42.0,34.0,384.0,30.0,40.0,2,17,5,2011,6,Ohio,Central,Columbian
234,92.0,38.0,33.0,414.0,20.0,40.0,2,22,6,2011,2,Ohio,Central,Columbian
234,84.0,34.0,31.0,432.0,30.0,30.0,2,26,7,2011,4,Ohio,Central,Columbian
234,121.0,46.0,36.0,424.0,40.0,40.0,2,44,11,2011,1,Ohio,Central,Columbian
234,126.0,52.0,77.0,509.0,20.0,50.0,3,35,9,2010,2,Ohio,Central,Decaf Irish Cream
234,127.0,53.0,72.0,458.0,20.0,50.0,3,17,5,2011,6,Ohio,Central,Decaf Irish Cream
234,106.0,44.0,64.0,496.0,20.0,40.0,3,22,6,2011,2,Ohio,Central,Decaf Irish Cream
234,130.0,51.0,76.0,503.0,30.0,40.0,3,39,10,2011,5,Ohio,Central,Decaf Irish Cream
234,340.0,170.0,72.0,1073.0,140.0,190.0,5,5,2,2010,0,Ohio,Central,Caffe Mocha
234,382.0,170.0,76.0,1091.0,140.0,190.0,5,52,1,2011,5,Ohio,Central,Caffe Mocha
234,387.0,181.0,75.0,1283.0,170.0,230.0,5,44,11,2011,1,Ohio,Central,Caffe Mocha
